[1.20974210e-01 8.79025790e-01]
[1.57718945e-07 9.99999842e-01]
[7.70176170e-01 2.29823830e-01]
[4.82841201e-01 5.17158799e-01]
[8.55749099e-05 9.99914425e-01]
[2.62377919e-02 9.73762208e-01]
[9.90868801e-01 9.13119915e-03]
[9.36165585e-04 9.99063834e-01]
[4.02896553e-01 5.97103447e-01]
[7.23587456e-01 2.76412544e-01]
[4.66538855e-02 9.53346115e-01]
[8.41876114e-01 1.58123886e-01]
[9.99999626e-01 3.74398291e-07]
[8.62736235e-02 9.13726376e-01]
[3.18558777e-01 6.81441223e-01]
[3.59245331e-01 6.40754669e-01]
[8.97959874e-01 1.02040126e-01]
[5.27720958e-03 9.94722790e-01]
[1.65562059e-03 9.98344379e-01]
[7.46500529e-01 2.53499471e-01]
[7.95402927e-01 2.04597073e-01]
[4.52290116e-09 9.99999995e-01]
[2.48770967e-02 9.75122903e-01]
[8.54007262e-01 1.45992738e-01]
[4.36871524e-01 5.63128476e-01]
[6.88765611e-02 9.31123439e-01]
[9.90168182e-01 9.83181827e-03]
[1.34447773e-05 9.99986555e-01]
[6.36722174e-01 3.63277826e-01]
[2.90647368e-04 9.99709353e-01]
[7.50141036e-02 9.24985896e-01]
[2.04038851e-01 7.95961149e-01]
[2.04195538e-01 7.95804462e-01]
[5.14801486e-01 4.85198514e-01]
[4.28796213e-03 9.95712038e-01]
[2.54207480e-02 9.74579252e-01]
[6.20179642e-02 9.37982036e-01]
[4.55692445e-04 9.99544308e-01]
[2.39927893e-01 7.60072107e-01]
[9.99999998e-01 1.77625218e-09]
[1.59295244e-09 9.99999998e-01]
