[1.70515870e-01 8.29484130e-01]
[6.67755983e-01 3.32244017e-01]
[1.44556987e-02 9.85544301e-01]
[9.39648991e-01 6.03510092e-02]
[4.00097999e-02 9.59990200e-01]
[7.62530579e-01 2.37469421e-01]
[3.04067850e-01 6.95932150e-01]
[3.05694388e-01 6.94305612e-01]
[9.99973387e-01 2.66128490e-05]
[2.13096109e-02 9.78690389e-01]
[8.41807962e-01 1.58192038e-01]
[9.99987917e-01 1.20834789e-05]
[9.92377526e-01 7.62247403e-03]
[9.99987819e-01 1.21811964e-05]
[8.39742530e-01 1.60257470e-01]
[5.16079363e-03 9.94839206e-01]
[3.25846638e-03 9.96741534e-01]
[7.57644831e-01 2.42355169e-01]
[7.67665882e-03 9.92323341e-01]
[9.11494860e-01 8.85051399e-02]
[9.16444203e-01 8.35557973e-02]
[9.88787878e-01 1.12121215e-02]
[7.04779042e-01 2.95220958e-01]
[2.09015886e-08 9.99999979e-01]
[9.43318005e-01 5.66819949e-02]
[3.00000090e-14 1.00000000e+00]
[2.82184677e-01 7.17815323e-01]
[8.91801897e-01 1.08198103e-01]
[5.13850661e-02 9.48614934e-01]
[8.10941126e-01 1.89058874e-01]
[5.20143801e-01 4.79856199e-01]
[6.62502127e-01 3.37497873e-01]
[2.81345265e-03 9.97186547e-01]
[9.23352195e-01 7.66478052e-02]
[2.59081099e-02 9.74091890e-01]
[8.90070365e-01 1.09929635e-01]
[9.90647602e-01 9.35239788e-03]
[9.97568411e-01 2.43158884e-03]
[7.64385474e-01 2.35614526e-01]
[5.92519325e-01 4.07480675e-01]
[5.95642485e-01 4.04357515e-01]
[4.27923310e-03 9.95720767e-01]
[9.07867458e-01 9.21325419e-02]
[2.81442465e-01 7.18557535e-01]
[3.55461776e-01 6.44538224e-01]
[8.45490296e-01 1.54509704e-01]
[7.61617698e-01 2.38382302e-01]
[1.13842837e-01 8.86157163e-01]
[5.45944283e-01 4.54055717e-01]
[8.85173525e-01 1.14826475e-01]
[7.93563124e-01 2.06436876e-01]
[7.85732373e-03 9.92142676e-01]
[9.99992824e-01 7.17617798e-06]
[6.80728772e-02 9.31927123e-01]
[1.98673406e-01 8.01326594e-01]
[9.72651812e-01 2.73481875e-02]
[7.81595295e-01 2.18404705e-01]
[9.54937313e-01 4.50626871e-02]
[2.12745620e-06 9.99997873e-01]
[7.49828206e-01 2.50171794e-01]
[7.16260397e-01 2.83739603e-01]
[1.18116631e-01 8.81883369e-01]
[1.56052175e-05 9.99984395e-01]
[9.39350793e-02 9.06064921e-01]
[4.34286458e-02 9.56571354e-01]
[8.19950689e-01 1.80049311e-01]
[9.03917055e-01 9.60829454e-02]
[4.22730655e-01 5.77269345e-01]
[8.33048913e-01 1.66951087e-01]
[5.60056731e-01 4.39943269e-01]
[9.99949314e-01 5.06860785e-05]
[5.29034293e-01 4.70965707e-01]
[9.99026219e-01 9.73781120e-04]
[7.65567622e-01 2.34432378e-01]
[1.58641262e-01 8.41358738e-01]
[4.38715195e-01 5.61284805e-01]
[1.83300745e-02 9.81669926e-01]
[8.52964859e-01 1.47035141e-01]
[8.42546762e-03 9.91574532e-01]
[9.92374759e-01 7.62524088e-03]
[9.94370084e-01 5.62991623e-03]
[2.56950869e-01 7.43049131e-01]
[7.20920604e-01 2.79079396e-01]
[1.83888575e-01 8.16111425e-01]
[6.58143832e-01 3.41856168e-01]
[1.54259745e-02 9.84574026e-01]
[1.98710995e-12 1.00000000e+00]
[9.30624965e-01 6.93750355e-02]
[9.93976956e-01 6.02304405e-03]
[6.96122930e-08 9.99999930e-01]
[8.98003953e-01 1.01996047e-01]
[9.23820639e-01 7.61793607e-02]
[5.94010386e-01 4.05989614e-01]
[2.20415696e-02 9.77958430e-01]
[2.32659072e-01 7.67340928e-01]
[8.50953272e-12 1.00000000e+00]
[7.54235301e-01 2.45764699e-01]
[6.11302708e-01 3.88697292e-01]
[2.16737043e-06 9.99997833e-01]
[5.62874593e-02 9.43712541e-01]
[9.48139025e-01 5.18609748e-02]
[3.55364234e-03 9.96446358e-01]
[4.09517733e-01 5.90482267e-01]
[7.18952186e-01 2.81047814e-01]
[6.69870284e-02 9.33012972e-01]
[8.21383782e-01 1.78616218e-01]
[9.99995324e-01 4.67634431e-06]
[1.09160905e-01 8.90839095e-01]
[3.18904292e-01 6.81095708e-01]
[3.84235018e-01 6.15764982e-01]
[7.77325924e-01 2.22674076e-01]
[9.05719064e-03 9.90942809e-01]
[5.07817262e-03 9.94921827e-01]
[7.09719685e-01 2.90280315e-01]
[8.06885724e-01 1.93114276e-01]
[1.96114292e-13 1.00000000e+00]
[5.22801706e-02 9.47719829e-01]
[8.11573282e-01 1.88426718e-01]
[4.71519892e-01 5.28480108e-01]
[1.29329340e-01 8.70670660e-01]
[9.85663783e-01 1.43362171e-02]
[6.95171790e-08 9.99999930e-01]
[5.27371827e-01 4.72628173e-01]
[4.12255042e-06 9.99995877e-01]
[1.02694433e-01 8.97305567e-01]
[2.81695143e-01 7.18304857e-01]
[2.46826933e-01 7.53173067e-01]
[1.07860409e-01 8.92139591e-01]
[9.82926528e-03 9.90170735e-01]
[9.78209406e-02 9.02179059e-01]
[9.91312919e-02 9.00868708e-01]
[3.40925607e-06 9.99996591e-01]
[2.59388954e-01 7.40611046e-01]
[9.99999730e-01 2.69529914e-07]
[3.00000090e-14 1.00000000e+00]
