[7.90596008e-04 9.99209404e-01]
[1.32203102e-04 9.99867797e-01]
[9.66680884e-01 3.33191119e-02]
[1.06489062e-02 9.89351094e-01]
[9.86461282e-01 1.35387126e-02]
[1.46567822e-03 9.98534322e-01]
[9.91014421e-01 8.98557343e-03]
[7.81536102e-04 9.99218464e-01]
[9.99051213e-01 9.48792673e-04]
[9.99048412e-01 9.51581867e-04]
[9.95182991e-01 4.81699361e-03]
[9.95272160e-01 4.72783716e-03]
[5.23158550e-01 4.76841450e-01]
[9.91718650e-01 8.28134734e-03]
[8.65042210e-04 9.99134958e-01]
[9.98392701e-01 1.60730211e-03]
[6.39730692e-03 9.93602693e-01]
[4.72265482e-02 9.52773452e-01]
[9.98775899e-01 1.22412376e-03]
[9.83155370e-01 1.68446545e-02]
[3.83436680e-03 9.96165633e-01]
[6.58880591e-01 3.41119409e-01]
[9.95181501e-01 4.81852749e-03]
[9.99266505e-01 7.33469729e-04]
[6.05344772e-04 9.99394655e-01]
[9.99359846e-01 6.40175072e-04]
[1.49059296e-02 9.85094070e-01]
[2.91103125e-03 9.97088969e-01]
[9.97259200e-01 2.74082320e-03]
[9.99285579e-01 7.14409864e-04]
[9.97159958e-01 2.84006423e-03]
[5.51164150e-04 9.99448836e-01]
[9.84809816e-01 1.51902111e-02]
[9.85175252e-01 1.48247397e-02]
[3.74305248e-03 9.96256948e-01]
[2.13497877e-03 9.97865021e-01]
[4.44102287e-03 9.95558977e-01]
[1.25812292e-01 8.74187708e-01]
[9.94115472e-01 5.88451512e-03]
[9.83504057e-01 1.64959468e-02]
[8.00070345e-01 1.99929669e-01]
[9.98714328e-01 1.28564518e-03]
[5.71140051e-02 9.42885995e-01]
[9.99603629e-01 3.96370539e-04]
[9.08981323e-01 9.10186619e-02]
[9.98118877e-01 1.88112014e-03]
[9.73907530e-01 2.60924622e-02]
[1.70804262e-02 9.82919574e-01]
[1.56596899e-02 9.84340310e-01]
[1.04244947e-02 9.89575505e-01]
[9.97298598e-01 2.70139449e-03]
[2.48491764e-04 9.99751508e-01]
[9.93548453e-01 6.45152759e-03]
[9.99275327e-01 7.24686193e-04]
[6.54405355e-03 9.93455946e-01]
[9.97317135e-01 2.68288609e-03]
[1.87322378e-01 8.12677622e-01]
[9.97183204e-01 2.81681004e-03]
[1.09541416e-03 9.98904586e-01]
[5.16653061e-04 9.99483347e-01]
[9.95092392e-01 4.90758009e-03]
[9.81439292e-01 1.85607132e-02]
[1.02138519e-03 9.98978615e-01]
[9.97592688e-01 2.40731845e-03]
[9.98079002e-01 1.92099938e-03]
[1.89908922e-01 8.10091078e-01]
[6.98924065e-04 9.99301076e-01]
[2.68769383e-01 7.31230617e-01]
[5.21838665e-04 9.99478161e-01]
[9.96464908e-01 3.53512005e-03]
[8.84953558e-01 1.15046434e-01]
[3.52740288e-04 9.99647260e-01]
[3.62515450e-04 9.99637485e-01]
[9.98394728e-01 1.60528417e-03]
[1.20437145e-03 9.98795629e-01]
[8.06971550e-01 1.93028450e-01]
[9.90597963e-01 9.40201897e-03]
[2.50285864e-03 9.97497141e-01]
[9.99087989e-01 9.12018295e-04]
[9.98680413e-01 1.31959759e-03]
[1.37650967e-03 9.98623490e-01]
[8.43703747e-03 9.91562963e-01]
[9.86091733e-01 1.39082959e-02]
[9.98027027e-01 1.97298545e-03]
[7.38918781e-04 9.99261081e-01]
[5.02765179e-03 9.94972348e-01]
[9.98943627e-01 1.05638185e-03]
[9.97657299e-01 2.34267861e-03]
[4.11331654e-04 9.99588668e-01]
[1.70567036e-02 9.82943296e-01]
[9.96437132e-01 3.56287626e-03]
[1.34348869e-03 9.98656511e-01]
[3.17648649e-02 9.68235135e-01]
[9.85513568e-01 1.44864488e-02]
[3.99053097e-04 9.99600947e-01]
[4.72472250e-01 5.27527750e-01]
[2.43270397e-03 9.97567296e-01]
[5.05208969e-04 9.99494791e-01]
[2.48563290e-03 9.97514367e-01]
[1.18165851e-01 8.81834149e-01]
[1.71630681e-01 8.28369319e-01]
[2.20037699e-02 9.77996230e-01]
[1.43648386e-02 9.85635161e-01]
[5.68568707e-04 9.99431431e-01]
[9.16123390e-04 9.99083877e-01]
[7.23252892e-02 9.27674711e-01]
[9.99359846e-01 6.40175072e-04]
[8.73982906e-04 9.99126017e-01]
